id,date,region,country,category,product,salesperson,quantity,unit_price,discount,total
1,2025-05-26,Europe,Poland,Office Supplies,Binder,Priya Sharma,20,6.71,0.15,114.12
2,2024-12-12,Europe,United Kingdom,Furniture,Desk Lamp,Nagy Péter,4,51.25,0.25,153.74
3,2024-08-28,Europe,Hungary,Furniture,Bookshelf,Nagy Péter,20,171.97,0.15,2923.46
4,2025-04-06,South America,Argentina,Electronics,Mouse,Kovács Anna,20,,0.20,
5,2025-03-07,South America,Brazil,Electronics,Headphones,Szabó Éva,12,86.11,,1033.27
6,2025-01-07,Oceania,New Zealand,Furniture,Office Chair,Kovács Anna,9,216.66,0.20,1559.99
7,2025-06-24,North America,United States,Electronics,,Priya Sharma,2,159.33,0.20,254.94
8,2025-03-04,Europe,Germany,Electronics,,Kovács Anna,12,141.46,0.30,1188.23
9,2024-04-09,South America,Brazil,Software,Office Suite,Szabó Éva,8,166.93,0.05,1268.65
10,2025-08-03,South America,Brazil,,Gift Card,Emily Johnson,17,87.67,0.30,1043.23
11,2025-01-14,Europe,,,,Hans Müller,11,517.22,0.05,5404.98
12,2024-09-01,South America,Brazil,Electronics,Headphones,Emily Johnson,13,93.74,0.20,974.93
13,2025-09-19,Europe,France,,Extended Warranty,John Smith,17,,0.20,
14,2024-05-01,Asia,India,,Gift Card,Marie Dubois,9,103.23,0.20,743.25
15,2024-08-20,South America,Brazil,,Gift Card,Kovács Anna,14,91.57,0.05,1217.94
16,2024-11-25,Asia,Japan,Office Supplies,Stapler,Yuki Tanaka,3,13.36,0.20,32.06
17,2024-05-11,Europe,Hungary,Office Supplies,Binder,John Smith,11,5.56,0.15,51.96
18,2024-09-23,Europe,United Kingdom,Furniture,Desk,Szabó Éva,1,342.69,0.15,291.29
19,2024-05-26,Europe,France,Furniture,Bookshelf,John Smith,9,195.57,0.30,1232.09
20,2025-07-14,North America,United States,,Extended Warranty,Yuki Tanaka,7,73.79,0.10,464.91
21,2025-07-24,Africa,Egypt,Software,Antivirus,Hans Müller,17,50.48,0.25,643.63
22,2025-04-19,Europe,Hungary,Furniture,Office Chair,Carlos García,,280.30,0.10,
23,2025-05-02,Asia,Japan,,Extended Warranty,Marie Dubois,6,86.64,,519.81
24,2024-10-22,,Iceland,Software,IDE License,Marie Dubois,11,213.58,0.05,2231.96
25,2024-04-16,North America,Mexico,Software,Office Suite,Emily Johnson,10,160.82,0.20,1286.56
26,2024-09-28,North America,Canada,Office Supplies,Printer Paper,Marie Dubois,20,7.88,0.15,133.99
27,2024-01-28,Europe,Poland,,Gift Card,Carlos García,14,106.12,0.05,1411.46
28,2024-06-24,Europe,Germany,Office Supplies,Binder,Yuki Tanaka,8,6.40,0.00,51.16
29,2024-04-24,Europe,United Kingdom,Software,Antivirus,,14,49.76,0.15,592.17
30,2025-06-11,Asia,Japan,Office Supplies,Pens,Emily Johnson,14,4.04,0.10,50.96
31,2024-07-22,Europe,United Kingdom,Furniture,Desk,Carlos García,18,403.38,0.20,5808.68
